"","topic","term","beta"
"1",1,"food",0.0231143481213527
"2",1,"restaurant",0.0101174002960339
"3",1,"menu",0.00948453709290029
"4",1,"cheese",0.00823036212751227
"5",1,"bar",0.0077106093511118
"6",1,"breakfast",0.00740930096729511
"7",1,"chicken",0.00724970625415295
"8",1,"meal",0.00619427253332921
"9",1,"delicious",0.00539250572744817
"10",1,"sandwich",0.0045793977495586
"11",1,"dish",0.00448710996082167
"12",1,"time",0.00427172776559201
"13",1,"day",0.00420230976080259
"14",1,"server",0.0041272084926967
"15",1,"hot",0.0040822206376793
"16",1,"served",0.0039413282866654
"17",1,"bread",0.00387193711632257
"18",1,"sweet",0.00382278348903075
"19",1,"people",0.00374759591308509
"20",1,"perfect",0.00367881952304556
"21",1,"fries",0.00348555144733786
"22",1,"wait",0.00329226216310091
"23",1,"nice",0.00328404007474832
"24",1,"pork",0.00302385481965869
"25",1,"check",0.00294676583978758
"26",1,"friendly",0.00294253285269774
"27",1,"recommend",0.00293066021084245
"28",1,"egg",0.00292966599669228
"29",1,"coffee",0.00286991041459163
"30",1,"enjoy",0.0026473631052386
"31",1,"toast",0.00257178253047861
"32",1,"decided",0.00255611469998325
"33",1,"tasty",0.00241010808925198
"34",1,"free",0.00239195531637113
"35",1,"love",0.0023299192937553
"36",1,"soup",0.00232399286277598
"37",1,"service",0.00231347588293168
"38",1,"serve",0.00219577657440971
"39",1,"minutes",0.00216336026142934
"40",1,"crispy",0.00214834818796547
"41",1,"water",0.00212747843575844
"42",1,"hard",0.00209657352165803
"43",1,"staff",0.00208838259501666
"44",1,"quality",0.00207258520687771
"45",1,"amazing",0.0020368254613693
"46",1,"options",0.00199899781087639
"47",1,"taste",0.00198735923754538
"48",1,"fried",0.00192934209436606
"49",1,"super",0.00192272789961329
"50",1,"yelp",0.00191521384555599
"51",2,"food",0.0154499488143112
"52",2,"menu",0.00745439231606382
"53",2,"cheese",0.00549982298969875
"54",2,"flavor",0.00518049794810904
"55",2,"salad",0.00514288412939377
"56",2,"brunch",0.00506751556313448
"57",2,"bar",0.00504377344007571
"58",2,"french",0.00493187996144418
"59",2,"delicious",0.00469564855147041
"60",2,"wait",0.00468800466906079
"61",2,"staff",0.00451337463783295
"62",2,"love",0.00436683774801422
"63",2,"time",0.00435136250905605
"64",2,"service",0.00421619022076121
"65",2,"bit",0.00415064072303773
"66",2,"toast",0.00411966225399251
"67",2,"restaurant",0.00409670813216017
"68",2,"dinner",0.00391298178558389
"69",2,"experience",0.00368282688266502
"70",2,"amazing",0.00359429776634874
"71",2,"sweet",0.00355970211302613
"72",2,"taste",0.0034669105056475
"73",2,"visit",0.00323875750625837
"74",2,"waitress",0.0031973262152643
"75",2,"review",0.00299214837581909
"76",2,"location",0.00289887500736176
"77",2,"shrimp",0.00287560986856767
"78",2,"drink",0.00283488077395179
"79",2,"happy",0.00283020412975146
"80",2,"dish",0.00271068753720445
"81",2,"hour",0.0027047357944723
"82",2,"fresh",0.00269738639157525
"83",2,"burger",0.0026949943127788
"84",2,"nice",0.0026846819606144
"85",2,"day",0.00267769765887498
"86",2,"free",0.00262451926368285
"87",2,"bacon",0.00261838705925327
"88",2,"table",0.00258276191650923
"89",2,"steak",0.002573384250423
"90",2,"tasty",0.00256973092272319
"91",2,"options",0.00253683211334644
"92",2,"sit",0.00252999953579724
"93",2,"dishes",0.00250884105211313
"94",2,"loved",0.00250685039432788
"95",2,"parking",0.00250479884678105
"96",2,"perfectly",0.00247399897343915
"97",2,"sauce",0.00237565378276203
"98",2,"excellent",0.00232800086106215
"99",2,"soup",0.00229946997521971
"100",2,"meat",0.0022972199542788
"101",3,"food",0.0127200886381135
"102",3,"brunch",0.00712413904703289
"103",3,"people",0.00661906035447745
"104",3,"coffee",0.00626016165765772
"105",3,"eggs",0.00590236731567582
"106",3,"pretty",0.00566150352721579
"107",3,"nice",0.00516729909005487
"108",3,"salad",0.00484784415397549
"109",3,"love",0.00469300339015547
"110",3,"night",0.00442894568908236
"111",3,"fresh",0.00359914132529472
"112",3,"drinks",0.00358815813384092
"113",3,"french",0.00342904894258855
"114",3,"service",0.00336862298598914
"115",3,"served",0.00326567739313005
"116",3,"minutes",0.00311942951121217
"117",3,"dinner",0.00298506501145927
"118",3,"house",0.0029477179369334
"119",3,"perfectly",0.00292175889594144
"120",3,"friend",0.00288753129472078
"121",3,"tasted",0.00274816212619408
"122",3,"dish",0.00274195843261112
"123",3,"seating",0.00274074958218815
"124",3,"bacon",0.00271964963736633
"125",3,"loved",0.00271964177604969
"126",3,"time",0.00270596302232943
"127",3,"lunch",0.00268527046717599
"128",3,"lot",0.00267496739919098
"129",3,"location",0.00261270198518643
"130",3,"excellent",0.00259695023006911
"131",3,"enjoyed",0.00251919870755953
"132",3,"eat",0.0025050829963598
"133",3,"fried",0.00245292203584283
"134",3,"cooked",0.00242179149346679
"135",3,"steak",0.0023791368885773
"136",3,"hot",0.00232775408354243
"137",3,"perfect",0.00229746005399515
"138",3,"day",0.00228877915068705
"139",3,"taste",0.00224447339404764
"140",3,"grits",0.00224274896575369
"141",3,"drink",0.00222968462653354
"142",3,"city",0.00221394400854648
"143",3,"parking",0.00220891193740919
"144",3,"half",0.00218420507233538
"145",3,"feel",0.00216694247054626
"146",3,"seated",0.00216268824624807
"147",3,"staff",0.00212259083618487
"148",3,"busy",0.0020593895485054
"149",3,"sauce",0.00201517880591058
"150",3,"breakfast",0.00201507870342087
"151",4,"food",0.0118813567568806
"152",4,"time",0.0104535933186929
"153",4,"breakfast",0.00766474455514782
"154",4,"friendly",0.0075055990094688
"155",4,"delicious",0.0072219447670405
"156",4,"table",0.00706505995339901
"157",4,"service",0.00692970643366355
"158",4,"menu",0.00688460305616466
"159",4,"people",0.00554965285047396
"160",4,"brunch",0.00542567994787619
"161",4,"day",0.00489954041003661
"162",4,"experience",0.00445955308821061
"163",4,"sauce",0.00414572660628533
"164",4,"fried",0.00414561825288578
"165",4,"fries",0.00386152002539581
"166",4,"cheese",0.00379147781457903
"167",4,"night",0.00376372168022795
"168",4,"dinner",0.00375674604499915
"169",4,"happy",0.00372686830333991
"170",4,"bread",0.00365986625474178
"171",4,"spot",0.00363234839786015
"172",4,"favorite",0.00356223211156973
"173",4,"minutes",0.00329362584503146
"174",4,"dining",0.00324998818935727
"175",4,"served",0.00318349326640373
"176",4,"server",0.00317162100694707
"177",4,"worth",0.00308207770153707
"178",4,"sweet",0.00308185473489318
"179",4,"salad",0.00299886154507971
"180",4,"tasty",0.00287166742293924
"181",4,"special",0.00282823910442649
"182",4,"coffee",0.00282263407916919
"183",4,"drink",0.00278558234823931
"184",4,"hot",0.00277378271459901
