word,n
coffee,19104
cheese,16603
chicken,14705
eggs,11658
sandwich,11514
salad,10331
sauce,9625
bacon,9220
bread,9203
sweet,8832
toast,8132
egg,6053
cream,5923
meat,5475
potatoes,5456
pancakes,5105
pork,4968
dessert,4913
soup,4766
chocolate,4535
sausage,4529
cake,4475
wine,4252
water,4214
beef,4032
gravy,3887
butter,3818
fish,3684
tea,3605
green,3476
biscuits,3326
pizza,3300
potato,3225
chips,3104
beans,2957
bowl,2954
tomato,2952
bagel,2807
rice,2720
fruit,2694
ice,2614
waffle,2580
dry,2503
onions,2459
taco,2400
salmon,2379
ham,2298
pie,2262
waffles,2258
onion,2243
prepared,2227
turkey,2111
corn,2105
burrito,2049
creamy,2026
entrees,2022
juice,2018
roll,2008
sugar,2006
burgers,1999
syrup,1986
tomatoes,1983
spinach,1967
pasta,1869
garlic,1825
lemon,1814
cocktail,1784
apple,1781
milk,1743
split,1743
pepper,1726
vegetarian,1716
cinnamon,1714
salt,1693
mixed,1668
honey,1640
smoked,1629
desserts,1606
orange,1600
veggie,1586
dressing,1573
bagels,1572
roast,1566
duck,1510
peppers,1467
pastries,1420
greens,1380
mushrooms,1375
pudding,1365
gluten,1358
lettuce,1357
chili,1337
pulled,1248
chorizo,1172
lamb,1166
goat,1140
crust,1126
oil,1102
school,1095
vanilla,1092
plain,1090
blueberry,1084
pastry,1079
dip,1056
muffin,1043
rolls,992
fat,982
cookies,956
toppings,937
vegetables,926
sprouts,921
spread,917
cookie,911
pickles,902
tortilla,901
frozen,894
guacamole,864
bean,862
mustard,857
seasoning,845
bananas,816
peanut,812
corned,810
cauliflower,773
kale,773
dough,765
lime,762
pumpkin,752
patty,751
hummus,722
strawberries,718
shake,672
cheesecake,671
wheat,671
muffins,638
pineapple,636
basil,628
meatballs,605
rye,600
flavored,597
olive,597
ground,593
blend,592
breast,590
buffalo,589
parmesan,589
shell,589
tart,581
ginger,574
tofu,571
arugula,562
sea,559
beverage,555
broccoli,551
cilantro,549
tortillas,546
wild,544
beverages,542
snack,540
peach,539
cucumber,535
yogurt,535
mango,534
vegetable,529
noodles,523
broth,520
brussels,517
queso,517
rings,514
asparagus,513
carrot,512
mother's,504
squash,497
meatloaf,490
balls,488
lemonade,486
mocha,479
eggplant,472
pastrami,465
turtle,465
cracker,464
smoothie,464
whiskey,462
pickle,456
nuts,453
product,452
carrots,451
olives,451
gras,437
spices,437
beet,433
topping,432
yellow,432
buns,430
leaves,429
punch,429
brand,428
spanish,428
bitter,422
soy,417
cabbage,410
granola,408
apples,405
berry,402
bits,396
quinoa,389
octopus,387
protein,384
rose,377
clam,373
products,367
energy,356
blueberries,355
ravioli,351
flour,344
dutch,342
dairy,341
snacks,335
macaroni,323
pear,323
rosemary,320
spaghetti,320
substitute,320
citrus,316
horseradish,316
industrial,316
watermelon,314
patties,312
grain,308
croissants,301
carne,298
vinegar,297
doughnuts,296
bear,293
cranberry,291
sticks,291
beets,288
scrapple,288
grapefruit,281
loaf,279
shakes,279
seeds,275
tenders,268
candied,258
foie,258
picnic,258
okra,254
pimento,247
dill,244
trout,242
stew,239
blackberry,238
legs,238
peas,234
stuffing,234
dates,233
leche,222
souffle,222
root,216
flowers,210
celery,207
liver,204
capers,200
lasagna,199
quail,194
falafel,189
plantains,186
puree,185
mountain,184
barbecue,183
crackers,183
hearts,179
lean,179
links,179
veal,179
jams,177
pate,177
crumbs,176
pomegranate,176
refried,176
fennel,172
hazelnut,172
baking,168
fillings,165
grass,165
preserves,164
croutons,163
puppies,163
popcorn,159
grape,158
hush,158
quarters,154
cereal,153
salami,153
pea,150
grapes,148
pepperoni,148
flan,147
guava,147
powder,147
tamales,146
bison,141
raisins,141
shells,140
cocoa,138
marmalade,137
danish,136
focaccia,136
toddler,136
flower,135
melon,132
relish,127
parfait,123
mayonnaise,121
replacement,120
parsley,116
pretzels,116
wasabi,116
cornmeal,115
avocados,112
puff,112
oat,111
roots,110
turnover,110
ear,109
radish,109
tostada,109
palm,108
link,106
peaches,106
cranberries,104
peel,103
apricot,101
chickpea,101
sauerkraut,101
flakes,100
artichokes,99
cherries,98
tempeh,98
mush,95
hen,94
figs,93
mouse,93
yeast,91
peanuts,90
miso,89
thigh,86
edamame,85
chickpeas,84
leeks,83
turnip,83
malt,82
raspberries,82
lentils,81
rhubarb,81
thyme,81
goose,80
oranges,79
puffs,79
