topic,term,beta
1,tea,7.111396196963347e-4
2,tea,0.0012261383530610852
3,tea,0.001040010745528903
4,tea,7.738269601169969e-4
1,coffee,0.004088633808473459
2,coffee,0.0026908170125061184
3,coffee,0.008993355322841165
4,coffee,0.004102213934001144
1,bacon,0.002126624565782986
2,bacon,0.0030308849405027006
3,bacon,0.003239700928264485
4,bacon,0.0011952927238982967
1,bowl,8.717933333125922e-4
2,bowl,9.475118927518441e-4
3,bowl,6.301484683923208e-4
4,bowl,6.239637967721473e-4
1,wine,0.0015690075741845628
2,wine,8.262403366109898e-4
3,wine,0.0015642340172675796
4,wine,4.6323837435691725e-4
1,pizza,9.550479108234979e-4
2,pizza,5.087848330901342e-4
3,pizza,3.8427863543120944e-4
4,pizza,0.00158582853990642
1,bagel,2.2534320456191474e-4
2,bagel,4.028347577440913e-4
3,bagel,0.0018100655749773125
4,bagel,4.8225380735154817e-4
1,cake,0.001660557550145006
2,cake,9.952004249801163e-4
3,cake,0.0016531509819434375
4,cake,3.457039571040996e-4
1,sandwich,0.00860309211594753
2,sandwich,0.0030937861866857787
3,sandwich,9.447026172902239e-5
4,sandwich,1.8061226503658263e-4
1,gluten,3.479600434434487e-4
2,gluten,6.989334568386919e-4
3,gluten,2.4701253056321013e-4
4,gluten,1.1906715379807167e-4
1,cookies,4.26304184835844e-5
2,cookies,2.3142756386497758e-4
3,cookies,3.490134760992009e-4
4,cookies,3.719105450726218e-4
1,gravy,5.494332863896491e-4
2,gravy,0.0012658399910158316
3,gravy,0.0011006565321027269
4,gravy,0.0011290798975367128
1,water,0.0017073395817763595
2,water,9.874990590730366e-4
3,water,1.2111201428362994e-4
4,water,0.0015684317441285972
1,chicken,0.010011724250976128
2,chicken,2.9669083459772254e-4
3,chicken,0.0021984324788112317
4,chicken,0.0027837459348066212
1,hummus,1.0341694939603306e-4
2,hummus,2.0600427267843067e-5
3,hummus,3.2067291435352517e-4
4,hummus,3.065926601825844e-4
1,rice,5.867049521963848e-4
2,rice,4.599568403592237e-4
3,rice,9.018293198417276e-4
4,rice,8.816614157837697e-4
1,pork,0.0023765143691770506
2,pork,7.328819729544639e-4
3,pork,6.32914900387145e-5
4,pork,0.001995674580169498
1,roast,3.1585463954692943e-4
2,roast,5.255658311396843e-4
3,roast,1.9312697443706495e-4
4,roast,5.951907500792138e-4
1,smoked,2.2412669795597898e-4
2,smoked,3.979223483416253e-4
3,smoked,5.399109217757509e-4
4,smoked,5.332252081223832e-4
1,taco,7.707478846485841e-4
2,taco,5.022535390042824e-4
3,taco,8.392996096928208e-4
4,taco,3.8432227157758267e-4
