word,n
food,51434
time,27034
service,24566
breakfast,24422
menu,22332
coffee,19104
restaurant,18227
delicious,17032
cheese,16603
nice,15736
table,14943
chicken,14705
love,13832
wait,13235
people,12560
bar,12451
meal,12190
day,11768
eggs,11658
lunch,11534
brunch,11518
sandwich,11514
pretty,11474
fresh,11376
friendly,11301
eat,10697
staff,10477
experience,10437
salad,10331
sauce,9625
amazing,9611
bit,9356
bacon,9220
bread,9203
server,8897
minutes,8860
sweet,8832
dinner,8827
fried,8641
night,8494
hot,8333
toast,8132
perfect,7974
fries,7962
drinks,7916
spot,7874
french,7804
lot,7706
served,7574
happy,7345
favorite,7303
flavor,7127
drink,7088
visit,7082
dish,7047
inside,6881
tasty,6801
burger,6795
tables,6757
taste,6696
friend,6634
super,6599
house,6580
times,6568
location,6509
feel,6469
bad,6456
stars,6152
check,6093
waitress,6089
dining,6077
egg,6053
told,6047
special,5938
cream,5923
options,5923
huge,5856
enjoyed,5850
parking,5833
cafe,5826
decided,5814
worth,5811
hour,5760
friends,5749
cooked,5744
half,5683
shrimp,5676
recommend,5550
morning,5514
review,5507
looked,5475
meat,5475
plate,5467
street,5462
potatoes,5456
seating,5430
loved,5329
seated,5324
items,5248
steak,5241
left,5207
pancakes,5105
price,5021
pork,4968
awesome,4963
excellent,4917
dessert,4913
atmosphere,4908
local,4851
busy,4813
eating,4810
free,4808
soup,4766
prices,4754
enjoy,4739
kitchen,4644
tasted,4584
perfectly,4574
quality,4537
chocolate,4535
sausage,4529
dishes,4506
cake,4475
diner,4442
waiting,4437
beer,4329
hard,4318
sandwiches,4301
coming,4300
star,4273
wine,4252
sit,4239
finally,4234
arrived,4214
water,4214
counter,4169
grits,4107
sat,4091
couple,4058
beef,4032
sunday,4018
yelp,4012
city,3992
husband,3983
crispy,3920
cold,3891
gravy,3887
cool,3836
brought,3835
space,3826
butter,3818
reviews,3815
town,3786
started,3782
bite,3770
clean,3741
fish,3684
absolutely,3676
business,3650
warm,3634
restaurants,3633
family,3623
walk,3622
tea,3605
red,3521
walked,3505
30,3500
green,3476
grilled,3467
door,3449
beautiful,3439
wonderful,3436
tacos,3435
fun,3405
shop,3395
owner,3380
quick,3370
hash,3361
light,3356
party,3351
start,3341
wrong,3340
waiter,3327
biscuits,3326
fantastic,3324
waited,3317
person,3310
serve,3307
cup,3304
pizza,3300
bring,3291
white,3277
decor,3269
selection,3253
potato,3225
week,3216
spicy,3215
choice,3210
decent,3208
crab,3178
style,3178
wife,3155
list,3150
ate,3149
fine,3148
biscuit,3130
customer,3129
disappointed,3124
manager,3112
return,3112
chips,3104
close,3101
fast,3092
offer,3083
orleans,3069
real,3055
fan,3039
extra,3037
plenty,3018
patio,3014
portion,3005
lots,2984
saturday,2981
benedict,2968
attentive,2965
beans,2957
bowl,2954
tomato,2952
philly,2930
vegan,2929
cute,2914
flavors,2903
size,2898
hours,2890
sitting,2882
easy,2862
highly,2821
bagel,2807
called,2799
customers,2796
leave,2771
live,2741
portions,2739
add,2733
short,2730
rice,2720
avocado,2709
late,2708
music,2701
fruit,2694
pay,2668
hotel,2667
weekend,2657
mind,2637
ingredients,2630
simple,2628
regular,2626
ice,2614
soft,2612
stopped,2608
reason,2604
expect,2595
flavorful,2593
care,2584
waffle,2580
black,2540
main,2535
packed,2524
topped,2521
entire,2511
meals,2504
dry,2503
located,2497
hungry,2482
days,2467
onions,2459
trip,2456
glass,2434
ready,2434
life,2410
chef,2405
taco,2400
servers,2393
plates,2390
reservation,2381
salmon,2379
glad,2378
option,2365
extremely,2362
mexican,2353
yummy,2340
outdoor,2325
ham,2298
heard,2286
stay,2274
pie,2262
waffles,2258
nashville,2245
onion,2243
homemade,2235
variety,2234
salsa,2232
deal,2228
prepared,2227
seat,2223
baked,2217
filled,2217
offered,2215
money,2212
unique,2209
specials,2206
neighborhood,2202
guess,2200
hostess,2200
appetizer,2195
cut,2176
hit,2167
impressed,2153
